"code_module","code_presentation","id_student","id_site","date","sum_click"
"AAA","2013J","28400","546652","-10","4"
"AAA","2013J","28400","546652","-10","1"
"AAA","2013J","28400","546652","-10","1"
"AAA","2013J","28400","546614","-10","11"
"AAA","2013J","28400","546714","-10","1"
"AAA","2013J","28400","546652","-10","8"
"AAA","2013J","28400","546876","-10","2"
"AAA","2013J","28400","546688","-10","15"
"AAA","2013J","28400","546662","-10","17"
"AAA","2013J","28400","546890","-10","1"
"AAA","2013J","28400","547011","-10","1"
"AAA","2013J","28400","547013","-10","1"
"AAA","2013J","28400","546871","-10","3"
"AAA","2013J","28400","546879","-10","4"
"AAA","2013J","30268","546652","-10","3"
"AAA","2013J","30268","546662","-10","2"
"AAA","2013J","30268","546614","-10","3"
"AAA","2013J","30268","546652","-10","2"
"AAA","2013J","31604","546672","-10","1"
"AAA","2013J","31604","547013","-10","5"
"AAA","2013J","31604","546871","-10","3"
"AAA","2013J","31604","546614","-10","11"
"AAA","2013J","31604","546660","-10","1"
"AAA","2013J","31604","546662","-10","19"
"AAA","2013J","31604","546879","-10","9"
"AAA","2013J","31604","546667","-10","4"
"AAA","2013J","31604","546688","-10","7"
"AAA","2013J","32885","546681","-10","5"
"AAA","2013J","32885","547013","-10","1"
"AAA","2013J","32885","546652","-10","1"
"AAA","2013J","32885","546614","-10","13"
"AAA","2013J","32885","546652","-10","3"
"AAA","2013J","32885","546662","-10","22"
"AAA","2013J","32885","546871","-10","1"
"AAA","2013J","32885","546660","-10","2"
"AAA","2013J","32885","546670","-10","1"
"AAA","2013J","32885","546719","-10","5"
"AAA","2013J","32885","546732","-10","5"
"AAA","2013J","32885","546668","-10","1"
"AAA","2013J","32885","546672","-10","1"
"AAA","2013J","32885","546667","-10","3"
"AAA","2013J","32885","546671","-10","1"
"AAA","2013J","32885","546879","-10","5"
"AAA","2013J","32885","546652","-10","4"
"AAA","2013J","32885","546731","-10","4"
"AAA","2013J","38053","546879","-10","7"
"AAA","2013J","38053","546986","-10","2"
"AAA","2013J","38053","546652","-10","5"
"AAA","2013J","38053","546681","-10","2"
"AAA","2013J","38053","546614","-10","13"
"AAA","2013J","38053","546669","-10","5"
"AAA","2013J","38053","546688","-10","2"
"AAA","2013J","38053","546700","-10","2"
"AAA","2013J","38053","546714","-10","2"
"AAA","2013J","38053","546719","-10","5"
"AAA","2013J","38053","546652","-10","11"
"AAA","2013J","38053","546662","-10","17"
"AAA","2013J","38053","546871","-10","1"
"AAA","2013J","38053","547013","-10","1"
"AAA","2013J","45462","546662","-10","1"
"AAA","2013J","45462","546986","-10","1"
"AAA","2013J","45462","546614","-10","7"
"AAA","2013J","45462","546652","-10","1"
"AAA","2013J","45462","546652","-10","1"
"AAA","2013J","58873","546652","-10","8"
"AAA","2013J","58873","546662","-10","34"
"AAA","2013J","58873","546667","-10","4"
"AAA","2013J","58873","546614","-10","18"
"AAA","2013J","58873","546681","-10","10"
"AAA","2013J","58873","546652","-10","1"
"AAA","2013J","59185","546662","-10","14"
"AAA","2013J","59185","546667","-10","8"
"AAA","2013J","59185","546652","-10","4"
"AAA","2013J","58873","546652","-10","5"
"AAA","2013J","59185","546652","-10","2"
"AAA","2013J","58873","546700","-10","22"
"AAA","2013J","58873","547013","-10","1"
"AAA","2013J","59185","546614","-10","12"
"AAA","2013J","59185","547009","-10","1"
"AAA","2013J","59185","546986","-10","1"
"AAA","2013J","58873","546714","-10","18"
"AAA","2013J","58873","546688","-10","10"
"AAA","2013J","59185","546681","-10","3"
"AAA","2013J","58873","546879","-10","8"
"AAA","2013J","59185","546879","-10","1"
"AAA","2013J","58873","546719","-10","3"
"AAA","2013J","62155","547009","-10","1"
"AAA","2013J","62155","546871","-10","1"
"AAA","2013J","62155","546876","-10","1"
"AAA","2013J","62155","546879","-10","1"
"AAA","2013J","62155","546681","-10","4"
"AAA","2013J","62155","546614","-10","8"
"AAA","2013J","62155","546719","-10","4"
"AAA","2013J","238007","546667","-10","5"
AAA,2013J,238007,546652,-10,4
AAA,2013J,238007,546660,-10,3
"AAA","2013J","238007","546876","-10","1"
"AAA","2013J","238007","547013","-10","1"
"AAA","2013J","291334","546714","-10","18"
"AAA","2013J","291334","546652","-10","4"
"AAA","2013J","291334","546662","-10","35"
"AAA","2013J","291334","546667","-10","5"
"AAA","2013J","291334","546876","-10","1"
"AAA","2013J","291334","547011","-10","1"
"AAA","2013J","291334","546732","-10","1"
"AAA","2013J","291334","546948","-10","1"
"AAA","2013J","291334","546879","-10","10"
"AAA","2013J","291334","546652","-10","2"
"AAA","2013J","291334","547013","-10","3"
"AAA","2013J","291334","546871","-10","8"
"AAA","2013J","291334","546731","-10","3"
"AAA","2013J","296332","546652","-10","1"
"AAA","2013J","296332","546986","-10","1"
"AAA","2013J","296332","546879","-10","1"
"AAA","2013J","296332","547013","-10","1"
"AAA","2013J","296332","546871","-10","1"
"AAA","2013J","296332","546662","-10","4"
"AAA","2013J","296332","546652","-10","2"
"AAA","2013J","296332","546614","-10","7"
"AAA","2013J","296332","546667","-10","3"
"AAA","2013J","298696","546986","-10","1"
"AAA","2013J","298696","546614","-10","1"
"AAA","2013J","298696","546662","-10","1"
"AAA","2013J","298696","547009","-10","1"
"AAA","2013J","300398","546681","-10","3"
"AAA","2013J","300398","546731","-10","10"
"AAA","2013J","300398","546652","-10","4"
"AAA","2013J","300398","546719","-10","8"
"AAA","2013J","300398","546879","-10","13"
"AAA","2013J","300398","546732","-10","13"
"AAA","2013J","300398","546671","-10","3"
"AAA","2013J","300398","546669","-10","2"
"AAA","2013J","300398","546668","-10","2"
"AAA","2013J","300398","546662","-10","9"
"AAA","2013J","300398","546614","-10","28"
"CCC","2014J","642591","909091","116","1"
"CCC","2014J","642591","909013","116","1"
"CCC","2014J","642291","909091","116","1"
"CCC","2014J","642291","909097","116","6"
"CCC","2014J","642291","909013","116","1"
"CCC","2014J","642291","909232","116","1"
"CCC","2014J","642291","909091","116","3"
"CCC","2014J","642291","909091","116","10"
"CCC","2014J","642291","909091","116","2"
"CCC","2014J","642850","909013","116","2"
"CCC","2014J","646481","909013","116","1"
"CCC","2014J","646351","909240","116","1"
"CCC","2014J","646351","909332","116","1"
"CCC","2014J","646351","909332","116","1"
"CCC","2014J","646351","909013","116","1"
"CCC","2014J","646406","909018","116","8"
"CCC","2014J","646406","909300","116","2"
"CCC","2014J","646406","909014","116","1"
"CCC","2014J","646406","909020","116","2"
"CCC","2014J","646406","909014","116","1"
"CCC","2014J","646406","909020","116","4"
"CCC","2014J","646406","909013","116","11"
"CCC","2014J","646406","909300","116","2"
"CCC","2014J","646406","909232","116","3"
"CCC","2014J","646406","909018","116","3"
"DDD","2013B","542049","547959","199","2"
"DDD","2013B","542049","547946","199","1"
"DDD","2013B","542049","547303","199","4"
"DDD","2013B","546074","547303","199","2"
"DDD","2013B","546074","547942","199","1"
"DDD","2013B","546074","547774","199","1"
"DDD","2013B","546074","547545","199","2"
"DDD","2013B","546074","547947","199","1"
"DDD","2013B","546074","547946","199","2"
"DDD","2013B","546074","547958","199","1"
"EEE","2013J","566310","551010","61","8"
"EEE","2013J","566310","551013","61","1"
"EEE","2013J","566310","551024","61","7"
"EEE","2013J","566310","551061","61","1"
"EEE","2013J","566310","551013","61","6"
"EEE","2013J","566310","551011","61","4"
"EEE","2013J","566310","551013","61","3"
"EEE","2013J","566310","551011","61","7"
"EEE","2013J","566201","551172","61","1"
"EEE","2013J","566201","551011","61","1"
"EEE","2013J","566201","551011","35","1"